
#K(subnets), #B(sample_interval), Tau_visited, P_visited, Tau_topk, P_topk, dataset, seed, #valBatch, PretrainedWeights
1,1,0.5933144800523706,1.4385500947717226e-181,0.20379122698862887,0.1702511419770616,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch_watch_NoneGrad/2022-05-04_00-36-55/checkpoints/last.ckpt
1,1,0.576745992561234,1.2314334486644248e-171,0.25970569055743714,0.1270798667539912,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch_watch/2022-05-04_00-35-49/checkpoints/last.ckpt
1,1,0.5931263142191094,2.1429615336645825e-181,0.02215700971892587,0.892857536153099,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-41-26/checkpoints/last.ckpt
1,1,0.5931263142191094,2.1429615336645825e-181,0.02215700971892587,0.892857536153099,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-41-26/checkpoints/last.ckpt
1,1,0.5737253559249476,1.170144646168197e-169,0.1700926270488942,0.24093588927586607,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch_watch_NoneGrad/2022-05-04_00-52-42/checkpoints/last.ckpt
1,1,0.4860938938973761,2.364693058326207e-122,0.0647518267761447,0.655907211564804,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-20-46/checkpoints/last.ckpt
1,5,0.5392880830711826,3.0950384004915976e-150,-0.13432313511206664,0.3591692079538287,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_5batch/2022-04-27_09-41-26/checkpoints/last.ckpt
1,5,0.3676210667017858,6.370388221775259e-71,-0.07458698539828913,0.6062701494123015,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_5batch/2022-04-27_09-25-52/checkpoints/last.ckpt
1,10,0.5110288677415978,4.509158351108842e-135,-0.20177574257674694,0.16600985710779514,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_10batch/2022-04-27_12-28-35/checkpoints/last.ckpt
1,10,0.4757507581308744,1.641483624104406e-117,0.20768983642358502,0.16249327381999878,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_10batch/2022-04-27_09-25-52/checkpoints/last.ckpt
2,1,0.6799114721289332,1.367668953290226e-237,-0.3237177788501868,0.025920454389328544,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
2,1,0.6799114721289332,1.367668953290226e-237,-0.3237177788501868,0.025920454389328544,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
2,1,0.6406717360641692,4.545645580755133e-211,0.14335222427654415,0.324712541769655,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_09-29-08/checkpoints/last.ckpt
2,5,0.5321223743785476,2.3859429614243354e-146,-0.17688712067261214,0.22289107907125738,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_5batch/2022-04-29_04-38-17/checkpoints/last.ckpt
5,1,0.6517370518293681,1.4149248884615315e-218,-0.13651764585706944,0.3650836253224967,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch_watch/2022-05-04_00-37-26/checkpoints/last.ckpt
5,1,0.6414453646482123,9.198742119917542e-212,-0.20925143612891303,0.16194344582870934,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch_watch_NoneGrad/2022-05-04_04-54-30/checkpoints/last.ckpt
5,1,0.6279044556920558,4.717462325767792e-203,0.37113480951260275,0.015635611661438398,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
5,1,0.630986239292683,3.5365831931713512e-205,-0.1738856534405324,0.2499414750209591,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-27/checkpoints/last.ckpt
5,1,0.6246908004915296,7.396553975569664e-201,-0.2536251577260199,0.08550491889146707,cifar10,666,30,/home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-29/checkpoints/last.ckpt
