#Nets, #interval, Tau, P-value, Checkpoint
1, 1, 0.612072,1.966087e-19, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_1net_1batch/2022-05-17_00-11-52/checkpoints/last.ckpt
1, 1, 0.581219,1.105642e-17, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-05-17_00-14-09/checkpoints/last.ckpt
1, 1, 0.554938,2.953548e-16, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch_watch/2022-05-04_00-35-49/checkpoints/last.ckpt
1, 1, 0.541338,1.516024e-15, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-20-46/checkpoints/last.ckpt
1, 1, 0.592802,2.498237e-18, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_1net_1batch/2022-04-27_09-41-26/checkpoints/last.ckpt
2, 1, 0.587284,5.072750e-18, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_09-29-08/checkpoints/last.ckpt
2, 1, 0.620704,6.064805e-20, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_2net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
5, 1, 0.586071,5.931869e-18, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch_watch/2022-05-04_00-37-26/checkpoints/last.ckpt
5, 1, 0.575702,2.214939e-17, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch/2022-04-27_12-28-35/checkpoints/last.ckpt
5, 1, 0.571775,3.687300e-17, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_5net_1batch/2022-04-27_23-57-53/checkpoints/last.ckpt
5, 1, 0.570966,4.081797e-17, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-27/checkpoints/last.ckpt
5, 1, 0.551557,4.487856e-16, /home/xihe/xinhe/hyperbox_app/hyperbox_app/distributed/logs/runs/search_nb201_gpunum1_c10_origin_fairnas_5net_1batch/2022-04-28_06-04-29/checkpoints/last.ckpt
